period,keyword_group,group_purpose,keywords,search_ratio,start_date,end_date,time_unit,collected_at
2026-01-05,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",74.40132,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-01-12,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",74.19488,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-01-19,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",94.59124,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-01-26,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",83.36085,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-02-02,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",70.68538,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-02-09,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",83.64987,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-02-16,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",62.9232,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-02-23,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",72.0066,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-03-02,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",100.0,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-03-09,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",81.50289,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-03-16,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",67.17588,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-03-23,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",68.12551,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-03-30,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",67.21717,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-04-06,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",64.40957,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-04-13,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",70.56151,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-04-20,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",62.88191,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
2026-04-27,KW1_공간대여_수요,공간 대여에 대한 수요가 있는지 확인하기 위함,"기숙사 짐보관, 이사 짐보관, 미니창고 대여, 셀프스토리지, 원룸 짐보관, 자취방 짐보관",57.92733,2025-05-26,2026-06-19,week,2026-06-19 14:37:50
