content_id,platform_id,platform_name,keyword,title,content_text,date
379783679,4,everytime,단기 임대,원룸 단기 임대,6월 중순 이후부터 12월 까지 단기 임대 가능한 원룸 찾습니다(내년 2월까지도 가능 해요),2026-05-13
379177394,4,everytime,단기 임대,6-8월 단기임대 구합니다,서울 내꼭 학교 근처 아니어도 괜찮아요입주일 퇴실일 전부 협의 가능합니다,2026-05-06
378289240,4,everytime,단기 임대,방학 단기임대 구합니다 원룸,방학 동안 원룸 단기임대 구해봐요. 이왕이면 학교랑 가까우면 좋고 멀어도 큰 상관은 없어요 학기 끝나고 6~8월 2달 반 혹은 6~7월 한달 반 구해봐요. 깨끗하게 쓸 자신 있습니당,2026-04-26
375961529,4,everytime,단기 임대,단기임대 7-8,방학기간중 단기임대 구해요 가격 제안주세요~!!,2026-04-05
375730630,4,everytime,단기 임대,단기임대 원룸 구해요,단기 임대 원룸 구합니다4-6월 단기로 구하고 있고 정말정말 깨끗하게 잘 쓸 자신있어요ㅜ 간절해요ㅜ,2026-04-03
369513865,4,everytime,단기 임대,학교 근처(~도보 15분) 단기임대(2~8월) 구합니다!,학교에서 도보 15분(약수역 정도)까지도 가능합니다! 여자이고 아주 깔끔한 편이라 깨끗하게 잘 사용할 수 있습니다! 연락 부탁드립니다🙏,2026-02-21
369196389,4,everytime,단기 임대,단기 임대 구해용,단기 임대 가능한 곳 구합니당최소 6월까진 가능했으면 좋겠고 꼭 동입/충무로 아니어도 돼요!,2026-02-19
369179994,4,everytime,단기 임대,단기임대,하는 거 어디서 알아봐야할까서울에서 잠깐 3개월정도,2026-02-19
368187267,4,everytime,단기 임대,단기임대 원해용 (2월 ~ 6월or 8월),연락주세용,2026-02-11
367667271,4,everytime,단기 임대,원룸 단기임대 구합니다,"중구, 종로구 교통 좋은 원룸 단기로 구하고 있습니다!2~6,7월 거주 희망하고, 월세는 60이하로 찾고 있습니다:) 오픈채팅으로 연락주시면 감사하겠습니다.https://open.kakao.com/o/sGE8BDeh",2026-02-06
367018747,4,everytime,단기 임대,원룸 단기 임대,"6개월 이하로 원룸 단기 임대 찾고 있습니다!학교 근처면 좋고, 외에 서울 시내여도 괜찮습니다.월세 60 이하로 고려중인데 연락주시면 감사하겠습니다.",2026-01-30
366541622,4,everytime,단기 임대,원룸 단기임대 구합니다,"원룸 월세 55 이하로 올해 6-7월까지 단기임대 구합니다!위치는 학교 기준 대중교통으로 20분 이하, 반지하제외 컨디션만 깨끗하다면 연락주시면 감사하겠습니다:)여성, 비흡연자입니다",2026-01-23
366538011,4,everytime,단기 임대,학교근처 원룸 단기임대 구합니다,단기임대 가능한 원룸 구합니다!여자고 깨끗하게 사용 가능하니 연락주세요!,2026-01-23
